人类简史, 尤瓦尔·赫拉利, 中信出版社, 2014, 历史、地理, 68.00, 10
自私的基因, 理查德·道金斯, 中信出版社, 2012, 生物科学, 88.00, 10
经济学原理, 曼昆, 北京大学出版社, 2015, 经济, 99.00, 100
艺术的故事, 贡布里希, 广西美术出版社, 2008, 艺术, 228.00, 10
时间简史, 史蒂芬·霍金, 湖南科学技术出版社, 2010, 天文学、地球科学, 45.00, 50
社会契约论, 卢梭, 商务印书馆, 2011, 政治、法律, 28.00, 10
中国哲学简史, 冯友兰, 北京大学出版社, 2013, 哲学、宗教, 45.00, 10
乌合之众, 古斯塔夫·勒庞, 中央编译出版社, 2011, 社会科学总论, 32.00, 10
百年孤独, 加西亚·马尔克斯, 南海出版公司, 2011, 文学, 39.50, 100
从0到1, 彼得·蒂尔, 中信出版社, 2015, 经济, 45.00, 30
精益创业, 埃里克·莱斯, 中信出版社, 2012, 经济, 49.00, 25
国富论, 亚当·斯密, 商务印书馆, 2007, 经济, 55.00, 100
资本论, 卡尔·马克思, 人民出版社, 2004, 经济, 88.00, 50
物种起源, 查尔斯·达尔文, 商务印书馆, 2010, 生物科学, 68.00, 20
梦的解析, 西格蒙德·弗洛伊德, 商务印书馆, 2011, 哲学、宗教, 39.00, 15
存在与时间, 马丁·海德格尔, 商务印书馆, 2006, 哲学、宗教, 78.00, 10
西方哲学史, 伯特兰·罗素, 商务印书馆, 2007, 哲学、宗教, 65.00, 30
理想国, 柏拉图, 商务印书馆, 2009, 哲学、宗教, 45.00, 20
战争与和平, 列夫·托尔斯泰, 人民文学出版社, 2006, 文学, 128.00, 50
追风筝的人, 卡勒德·胡赛尼, 上海人民出版社, 2006, 文学, 36.00, 100
小王子, 安托万·德·圣-埃克苏佩里, 人民文学出版社, 2003, 文学, 25.00, 200
科学的曙光, 陈刚, 北京大学出版社, 2017, 经济, 33.55, 181
数理之道, 何明, 商务印书馆, 2013, 天文学、地球科学, 286.48, 17
百科全书, 周涛, 商务印书馆, 2015, 交通运输, 229.74, 13
农耕智慧, 何明, 中信出版社, 2009, 社会科学总论, 79.55, 78
工业革命, 黄丽, 北京大学出版社, 2001, 环境科学、安全科学, 177.52, 46
探索自然, 林欣, 人民文学出版社, 2000, 文学, 120.88, 82
航天梦想, 林欣, 湖南科学技术出版社, 2017, 哲学、宗教, 148.96, 133
数理之道, 何明, 上海人民出版社, 2004, 工业技术, 114.04, 64
